"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U01115AR2006PTC008160","23-05-2006","ABOTANI PLANTATIONS AND INDUSTRIES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","10,000,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","SIANG HOUSE,VIP ROAD, P.O. HANAGAR, ITANAGAR-791111 Arunachal Pradesh INDIA","Indian Non-Government Company"
"U01117AR2001PTC006666","5-11-2001","ARUNACHAL HERBAL COMPANY PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","200,000.00","120,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","INDUSTRIAL EASTATETIPPI ARUNACHAL PRADESH WEST KAMENG Arunachal Pradesh INDIA 790114","Indian Non-Government Company"
"U01119AR1995PTC004377","24-02-1995","PEONG PLANTATIONS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","500,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","P.O. PEONG DIST. LOHIT PEONG Arunachal Pradesh INDIA","Indian Non-Government Company"
"U01119AR1996PTC004801","3-07-1996","ARUNA FINVEST PVT LTD","STRIKE OFF","Private","Company Limited by Shares","100,000.00","200","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","DEOMALI DEOMALI Arunachal Pradesh INDIA","Indian Non-Government Company"
"U01119AR1997PTC005225","20-10-1997","NEEKUM PLANTATIONS AND ALLIED SERVICES PVT LTD","STRIKE OFF","Private","Company Limited by Shares","500,000.00","100","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","PANCHAYAT COLONYG EXTENSION NAHARLAGUN. ITANAGAR PAPUMPARE ARUNACHAL PRADESH Arunachal Pradesh INDIA","Indian Non-Government Company"
"U01119AR2002PTC006742","29-01-2002","MEADOW & BROOKS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","500,000.00","125,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","Fe Ce SECTOR PAPUMPARE ITANAGAR Arunachal Pradesh INDIA 791111","Indian Non-Government Company"
"U01119AR2002PTC006746","31-01-2002","EVEREST INDIGENOUS HERBAL MEDICINE PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","300,000.00","120,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","INDUSTRIAL AREADIST PAPUMPARE ARUNACHAL PRADESH NAHARLAGUN Arunachal Pradesh INDIA 791110","Indian Non-Government Company"
"U01119AR2013PTC008386","26-04-2013","DADA BUSINESS VENTURES PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","E-699, Transport Colony & ALC Line Seppa Arunachal Pradesh INDIA 790102","Indian Non-Government Company"
"U01122AR1996PTC004845","4-09-1996","ARUNACHAL AGRO FRUITS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","4,000,000.00","200","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","ALUBARIP O CHOWKHAM DIST LOHIT ARUNACHAL PRADESH Arunachal Pradesh INDIA","Indian Non-Government Company"
"U01122AR1996PTC004872","24-09-1996","ARUNACHAL AGRO INDUSTRIES DEVELOPMENT CO. PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","10,000,000.00","900,000.00","Arunachal Pradesh","RoC-Shillong","Agriculture and Allied Activities","P.O. ROING ROING Arunachal Pradesh INDIA","Indian Non-Government Company"
