"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L01132AS1913PLC001412","6-12-1913","NAMBURNADI TEA COMPANY LIMITED","ACTIVE","Public","Company Limited by Shares","2,500,000.00","1,323,750.00","Assam","RoC-Shillong","Agriculture and Allied Activities","NAMBURNADI TEA ESTATE, BARAPATHAR KARBI ANGLONG Assam INDIA 785602","Indian Non-Government Company"
"L01132AS1915PLC000200","1-06-1915","B & A LIMITED","ACTIVE","Public","Company Limited by Shares","100,000,000.00","31,000,000.00","Assam","RoC-Shillong","Agriculture and Allied Activities","INDU BHAWAN MAHATMA GANDHI ROAD JORHAT Assam INDIA 785001","Indian Non-Government Company"
"L01132AS1928PLC001394","15-02-1928","KYANG TEA SEED CO LTD","ACTIVE","Public","Company Limited by Shares","2,500,000.00","2,200,000.00","Assam","RoC-Shillong","Agriculture and Allied Activities","NEWPURUP BARI, TEA ESTATE, GOHPUR, SONITPUR, GOHPUR Assam INDIA 784168","Indian Non-Government Company"
"L01132AS1970PLC001320","23-05-1970","SONAI RIVER TEA CO LTD","ACTIVE","Public","Company Limited by Shares","2,500,000.00","800,000.00","Assam","RoC-Shillong","Agriculture and Allied Activities","MONIERKHAL TEA ESTATE, SILCHAR, Assam INDIA 788122","Indian Non-Government Company"
"L01132AS1972PLC001387","19-08-1972","MOHEEMA LIMITED","ACTIVE","Public","Company Limited by Shares","10,500,000.00","1,777,850.00","Assam","RoC-Shillong","Agriculture and Allied Activities","H S ROAD DIBRUGARH Assam INDIA 786001","Indian Non-Government Company"
"L01132AS1977PLC001685","15-03-1977","ASSAM COMPANY INDIA LIMITED","ACTIVE","Public","Company Limited by Shares","600,000,000.00","309,760,963.00","Assam","RoC-Shillong","Agriculture and Allied Activities","GREENWOOD TEA ESTATE, DIBRUGARH Assam INDIA 786001","Indian Non-Government Company"
"L01132AS1977PLC001686","15-03-1977","WILLIAMSON TEA ASSAM LIMITED","AMALGAMATED","Public","Company Limited by Shares","200,000,000.00","141,755,000.00","Assam","RoC-Shillong","Agriculture and Allied Activities","HOUSE NO 37 5 TH BYE LANEMOTHER TERESA ROAD GUWAHATI ASSAM Assam INDIA 781021","Indian Non-Government Company"
"L01132AS1977PLC001706","31-05-1977","WARREN TEA LIMITED","ACTIVE","Public","Company Limited by Shares","200,000,000.00","119,508,040.00","Assam","RoC-Shillong","Agriculture and Allied Activities","DEOHALL TEA ESTATE DIST: TINSUKIA HOOGRIJAN Assam INDIA 786601","Indian Non-Government Company"
"L01132AS1982PLC007417","23-11-1982","S P B P TEA PLANTATION LIMITED","ACTIVE","Public","Company Limited by Shares","20,000,000.00","19,571,500.00","Assam","RoC-Shillong","Agriculture and Allied Activities","JAIPUR TEA ESTATE P.O. JEYPORE, DIST: DIBRUGARH Assam INDIA 786614","Indian Non-Government Company"
"L01403AS1999PLC005741","28-04-1999","BARAK VALLEY CEMENTS LIMITED","ACTIVE","Public","Company Limited by Shares","250,000,000.00","221,600,000.00","Assam","RoC-Shillong","Agriculture and Allied Activities","202, ROYAL VIEW, 2ND FLOOR B. K. KAKOTI ROAD, ULUBARI GUWAHATI Assam INDIA 781007","Indian Non-Government Company"
