"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L00000CH1983PLC031318","16-02-1983","SAB INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","200,000,000.00","151,883,720.00","Chandigarh","RoC-Chandigarh",NA,"S.C.O. 49-50, SECTOR - 26, MADHYA MARG CHANDIGRH Chandigarh INDIA 160019","Indian Non-Government Company"
"L00000CH1990PLC010573","20-07-1990","LAKSHMI ENERGY AND FOODS LIMITED","ACTIVE","Public","Company Limited by Shares","200,000,000.00","132,980,000.00","Chandigarh","RoC-Chandigarh",NA,"SCO 18 19 1ST FLOORSECTOR 9 D CHANDIGARH U T Chandigarh INDIA 160017","Indian Non-Government Company"
"L00000CH1994PLC015150","11-10-1994","KOHINOOR BROADCASTING CORPORATION LIMITED","ACTIVE","Public","Company Limited by Shares","1,160,000,000.00","1,102,057,000.00","Chandigarh","RoC-Chandigarh",NA,"SCO 87, 2nd Floor, Sector 46-C Chandigarh Chandigarh INDIA 160047","Indian Non-Government Company"
"L01122CH1995PLC015789","13-02-1995","SEQUOIA FORESTS LTD","UNDER LIQUIDATION","Public","Company Limited by Shares","100,000.00","7,000.00","Chandigarh","RoC-Chandigarh","Agriculture and Allied Activities","SCO 815MANIMAJRA CHANDIGARH UT Chandigarh INDIA","Indian Non-Government Company"
"L01222CH1996PLC010845","31-03-1996","SHUBH POULTRIES LTD","ACTIVE","Public","Company Limited by Shares","40,000,000.00","34,176,050.00","Chandigarh","RoC-Chandigarh","Agriculture and Allied Activities","SCO 23-24-25, IInd Floor, Sector 34-A Chandigarh Chandigarh INDIA 160022","Indian Non-Government Company"
"L15134CH1998PLC021565","6-07-1998","SWARN BHARAT IMPEX LIMITED","STRIKE OFF","Public","Company Limited by Shares","500,000.00","8,000.00","Chandigarh","RoC-Chandigarh","Manufacturing (Food stuffs)","543,Sector 16-D CHANDIGARH U T Chandigarh INDIA","Indian Non-Government Company"
"L15209CH1992PLC011926","16-01-1992","HERMAN MILKFOODS LIMITED","ACTIVE","Public","Company Limited by Shares","100,000,000.00","98,622,200.00","Chandigarh","RoC-Chandigarh","Manufacturing (Food stuffs)","SCO 834, IST FLOOR CHAMBER I, NAC MANIMAJRA CHANDIGARH Chandigarh INDIA 160101","Indian Non-Government Company"
"L15322CH1991PLC011537","30-07-1991","RANA SUGARS LIMITED","ACTIVE","Public","Company Limited by Shares","2,200,000,000.00","1,946,612,440.00","Chandigarh","RoC-Chandigarh","Manufacturing (Food stuffs)","SCO 49 50SECTOR 8 C MADHYA MARG CHANDIGARH Chandigarh INDIA 160009","Indian Non-Government Company"
"L17115CH1990PLC010566","19-07-1990","WINSOME YARNS LTD","ACTIVE","Public","Company Limited by Shares","850,000,000.00","707,072,290.00","Chandigarh","RoC-Chandigarh","Manufacturing (Textiles)","SCO 191 192SECTOR 34 A CHANDIGARH U T Chandigarh INDIA 160022","Indian Non-Government Company"
"L17115CH1992PLC012799","4-12-1992","TOOR SPINNERS LIMITED","DORMANT","Public","Company Limited by Shares","40,000,000.00","35,500,000.00","Chandigarh","RoC-Chandigarh","Manufacturing (Textiles)","H NO 86SECTOR 16 A CHANDIGARH U T Chandigarh INDIA","Indian Non-Government Company"
"L17117CH1985PLC023819","19-02-1985","ANUBHAV INDUSTRIAL RESOURCES LIMITED","ACTIVE","Public","Company Limited by Shares","60,000,000.00","50,790,000.00","Chandigarh","RoC-Chandigarh","Manufacturing (Textiles)","SCO 2 MADHYA MARGSECTOR 26 CHANDIGARH CHANDIGARH Chandigarh INDIA 160019","Indian Non-Government Company"
"L17301CH1987PLC007627","26-08-1987","CAREWELL HYGIENE PRODUCTS LIMITED","DORMANT","Public","Company Limited by Shares","35,000,000.00","30,000,000.00","Chandigarh","RoC-Chandigarh","Manufacturing (Textiles)","HOTEL SUNBEAM SECTOR 22-B CHANDIGARH Chandigarh INDIA","Indian Non-Government Company"
"L18101CH1994PLC015413","5-12-1994","GLOBAL KNITFAB LIMITED","ACTIVE","Public","Company Limited by Shares","100,000,000.00","52,325,000.00","Chandigarh","RoC-Chandigarh","Manufacturing (Textiles)","S C O 333 334SECTOR 35 B CHANDIGARH U T Chandigarh INDIA","Indian Non-Government Company"
"L19129CH1993PLC013513","9-07-1993","DOMINO LEATHERS LIMITED","UNDER LIQUIDATION","Public","Company Limited by Shares","120,000,000.00","98,300,000.00","Chandigarh","RoC-Chandigarh","Manufacturing (Leather & products thereof)","SCO 158-159 FOURTH FLOOR,SECTOR 34-A,CHANDIGARH. Chandigarh INDIA","Indian Non-Government Company"
"L20211CH1991PLC011732","28-10-1991","STYLAM INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","80,500,000.00","73,162,000.00","Chandigarh","RoC-Chandigarh","Manufacturing (Wood Products)","SCO 14SECTOR 7 C MADHYA MARG CHANDIGARH UT Chandigarh INDIA 160019","Indian Non-Government Company"
"L21012CH1988PLC008605","10-08-1988","RANA MOHENDRA PAPERS LIMITED","DORMANT","Public","Company Limited by Shares","85,000,000.00","6,670,700.00","Chandigarh","RoC-Chandigarh","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","SCO 6,SECTOR 17-E CHANDIGARH Chandigarh INDIA 160017","Indian Non-Government Company"
"L21012CH1990PLC010869","5-12-1990","GEETANJALI CREDIT AND CAPITAL LIMITED","ACTIVE","Public","Company Limited by Shares","35,000,000.00","31,192,000.00","Chandigarh","RoC-Chandigarh","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","SCO 23-24-25, IInd Floor Sector 34-A, Chandigarh Chandigarh Chandigarh INDIA 160022","Indian Non-Government Company"
"L24119CH1975PLC003607","1-12-1975","PUNJAB ALKALIES AND CHEMICALS LTD","ACTIVE","Public","Company Limited by Shares","400,000,000.00","204,996,000.00","Chandigarh","RoC-Chandigarh","Manufacturing (Metals & Chemicals, and products thereof)","S C O 125-127SECTOR 17 B CHANDIGARH U T Chandigarh INDIA 160017","Indian Non-Government Company"
"L24219CH1976PLC003627","17-02-1976","PUNJAB NATIONAL FERTILIZERS AND CHEMICALS LTD","UNDER LIQUIDATION","Public","Company Limited by Shares","80,000,000.00","7,000.00","Chandigarh","RoC-Chandigarh","Manufacturing (Metals & Chemicals, and products thereof)","UDYOG BHAWAN 18 HIMALAYAMARG SECTOR 17 CHANDIGARH UT Chandigarh INDIA","Indian Non-Government Company"
"L24230CH1986PLC006897","6-06-1986","IND SWIFT LIMITED","ACTIVE","Public","Company Limited by Shares","400,000,000.00","242,693,882.00","Chandigarh","RoC-Chandigarh","Manufacturing (Metals & Chemicals, and products thereof)","781INDUSTRIAL AREA PHASE II CHANDIGARH Chandigarh INDIA 160002","Indian Non-Government Company"
"L24231CH1975PLC003603","19-11-1975","PUNJAB CHEMICALS AND CROP PROTECTION LIMITED","ACTIVE","Public","Company Limited by Shares","200,000,000.00","122,621,850.00","Chandigarh","RoC-Chandigarh","Manufacturing (Metals & Chemicals, and products thereof)","PUNJAB CHEMICALS AND CROP PROTECTION LIMITED SCO NO- 183 1ST FLOOR SECTOR-26 CHANDIGARH Chandigarh INDIA 160019","Indian Non-Government Company"
"L24231CH1996PLC017755","22-02-1996","PARABOLIC DRUGS LIMITED","ACTIVE","Public","Company Limited by Shares","720,000,000.00","618,920,140.00","Chandigarh","RoC-Chandigarh","Manufacturing (Metals & Chemicals, and products thereof)","SCO 99 100SECTOR 17 B CHANDIGARH CHANDIGARH Chandigarh INDIA 160017","Indian Non-Government Company"
"L24232CH1989PLC009705","15-09-1989","VENUS REMEDIES LIMITED","ACTIVE","Public","Company Limited by Shares","150,000,000.00","114,419,880.00","Chandigarh","RoC-Chandigarh","Manufacturing (Metals & Chemicals, and products thereof)","SCO 857, 2nd FLOOR, C. No. 10 NAC MANIMAJRA CHANDIGARH Chandigarh INDIA 160101","Indian Non-Government Company"
"L24232CH1994PLC014434","8-04-1994","ASTER DRUGS AND PHARMACEUTICALS LIMITED","ACTIVE","Public","Company Limited by Shares","50,000,000.00","46,661,400.00","Chandigarh","RoC-Chandigarh","Manufacturing (Metals & Chemicals, and products thereof)","HOUSE NO. 1086, PROGRESSIVE SOCIETY SECTOR 50 - B CHANDIGARH Chandigarh INDIA 160047","Indian Non-Government Company"
