"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L01119CT1944PLC000635","28-04-1944","RAIGARH TRADING CO.LIMITED","ACTIVE","Public","Company Limited by Shares","2,500,000.00","1,250,000.00","Chhattisgarh","RoC-Chhattisgarh","Agriculture and Allied Activities","HANUMAN SEVA KUNJSTATION ROAD RAIGARH Chhattisgarh INDIA 496001","Indian Non-Government Company"
"L02710CT1989PLC010052","1-05-1989","NOVA IRON AND STEEL LIMITED","ACTIVE","Public","Company Limited by Shares","1,600,000,000.00","361,394,880.00","Chhattisgarh","RoC-Chhattisgarh",NA,"VILLAGE-DAGORI TEHSIL -BELHA, BILASPUR Chhattisgarh INDIA 495224","Indian Non-Government Company"
"L02710CT1990PLC009826","1-02-1990","MONNET ISPAT AND ENERGY LIMITED","ACTIVE","Public","Company Limited by Shares","2,570,000,000.00","2,408,256,810.00","Chhattisgarh","RoC-Chhattisgarh",NA,"MONNET MARG, MANDIR, HASAUD RAIPUR Chhattisgarh INDIA 492101","Indian Non-Government Company"
"L15143CT1991PLC006678","1-10-1991","ASHOKA REFINERIES LIMITED","ACTIVE","Public","Company Limited by Shares","37,500,000.00","34,019,000.00","Chhattisgarh","RoC-Chhattisgarh","Manufacturing (Food stuffs)","SHYAM COMPLEX RAM SAGAR PURA RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"L15143CT1994PLC005981","25-11-1994","SHREE RAJIV LOCHAN OIL EXTRACTION LIMITED","ACTIVE","Public","Company Limited by Shares","45,000,000.00","30,150,000.00","Chhattisgarh","RoC-Chhattisgarh","Manufacturing (Food stuffs)","27/3 jawahar Nagar RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
"L15147CT1987PLC004109","20-08-1987","R.L AGROTECH LIMITED","ACTIVE","Public","Company Limited by Shares","80,000,000.00","69,122,000.00","Chhattisgarh","RoC-Chhattisgarh","Manufacturing (Food stuffs)","R.L. HOUSE INDUSTRIAL AREA DHAMTARI Chhattisgarh INDIA 493773","Indian Non-Government Company"
"L21012CT1980PLC001682","14-11-1980","MADHYA BHARAT PAPERS LIMITED","ACTIVE","Public","Company Limited by Shares","300,000,000.00","34,100,000.00","Chhattisgarh","RoC-Chhattisgarh","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","VILLAGE BIRGAHNI RLY& P.O. CHAMPA JANJGIR CHAMPA Chhattisgarh INDIA 495671","Indian Non-Government Company"
"L21015CT1984PLC002416","5-04-1984","CHHATTISGARH INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","80,000,000.00","74,894,000.00","Chhattisgarh","RoC-Chhattisgarh","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","Near Balaji Transport Company Ring Road No. - 2, Raipur Chhattisgarh INDIA 492099","Indian Non-Government Company"
"L24111CT1986PLC003539","20-08-1986","PANKAJ OXYGEN LTD","ACTIVE","Public","Company Limited by Shares","5,000,000.00","4,500,000.00","Chhattisgarh","RoC-Chhattisgarh","Manufacturing (Metals & Chemicals, and products thereof)","URLA INDUSTRIAL AREA URLA RAIPUR Chhattisgarh INDIA 493221","Indian Non-Government Company"
"L24117CT1995PLC009845","21-08-1995","NATURA HUE-CHEM LIMITED","ACTIVE","Public","Company Limited by Shares","70,000,000.00","41,453,000.00","Chhattisgarh","RoC-Chhattisgarh","Manufacturing (Metals & Chemicals, and products thereof)","D-58, SECTOR 1, DEVENDRA NAGAR RAIPUR Chhattisgarh INDIA 492001","Indian Non-Government Company"
