"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L00210DD1992PLC001254","15-07-1992","SHRI ANJANEY AGRO FOODS LIMITED","DORMANT","Public","Company Limited by Shares","12,000,000.00",NA,"Daman and Diu","RoC-Goa",NA,"INDUSTRIAL ESTATE, MALALA DIU MALALA DIU Daman and Diu INDIA 362520","Indian Non-Government Company"
"L01122DD1991PLC002959","12-17-1991","MULTIBASE INDIA LIMITED","ACTIVE","Public","Company Limited by Shares","130000000","126200000","Daman and Diu","RoC-Goa","Agriculture and Allied Activities","74/5 6 DAMAN INDUSTRIALESTATE KADAIYAVILLAGE NANIDAMAN UNIONTERITORY Daman and Diu INDIA 396210","Indian Non-Government Company"
"L25206DD1993PLC001470","11-17-1993","PRIMA PLASTICS LIMITED","ACTIVE","Public","Company Limited by Shares","120000000","110004700","Daman and Diu","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","98/4 PRIMA HOUSEDAMAN INDUSTRIAL ESTATE KADAIYA NANI DAMAN DAMAN Daman and Diu INDIA 396210","Indian Non-Government Company"
"L25209DD1985PLC004694","10-22-1985","FIBERWEB (INDIA) LIMITED","ACTIVE","Public","Company Limited by Shares","200000000","109930930","Daman and Diu","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","AIRPORT ROAD, KADAIYA VILLAGE, NANI DAMAN, DAMAN Daman and Diu INDIA 396210","Indian Non-Government Company"
"L25209DD1988PLC001544","10-7-1988","WIM PLAST LIMITED","ACTIVE","Public","Company Limited by Shares","70000000","60016800","Daman and Diu","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","S. No. 324 / 4 to 7 of Kachigam, Village Kachigam Swami Narayan Gurukul Road Daman Daman and Diu INDIA 396210","Indian Non-Government Company"
"L25209DD1992PLC004656","9-30-1992","TPL PLASTECH LIMITED","ACTIVE","Public","Company Limited by Shares","100000000","78003000","Daman and Diu","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","213, SABARI, KACHIGAM Daman and Diu INDIA 396210","Indian Non-Government Company"
"L25209DD1994PLC001584","9-05-1994","MONALISA INFOTECH LIMITED","DORMANT","Public","Company Limited by Shares","120,000,000.00","87,243,000.00","Daman and Diu","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO 31 DAMAN INDUSTRIALESTATE SOMNATH ROAD DAMAN Daman and Diu INDIA 396210","Indian Non-Government Company"
"L27203DD1989PLC003240","12-20-1989","TIME TECHNOPLAST LIMITED","ACTIVE","Public","Company Limited by Shares","325000000","210117750","Daman and Diu","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","OFFICE NO. 213, SABARIAPARTMENT, BUILDING NO. 1, SURVEY NO. 387,DUNGRI FALIA, KACHIGAM DAMAN UT Daman and Diu INDIA 396210","Indian Non-Government Company"
"L65921DD1994PLC001678","10-17-1994","COMFORT INTECH LIMITED","ACTIVE","Public","Company Limited by Shares","400000000","319938080","Daman and Diu","RoC-Goa","Finance","106AVKAR ALGANI NAGAR KALARIA DAMAN Daman and Diu INDIA 396210","Indian Non-Government Company"
"L67120DD1987PLC002395","8-24-1987","PSL LIMITED","ACTIVE","Public","Company Limited by Shares","1800000000","989352520","Daman and Diu","RoC-Goa","Finance","KACHIGAM DAMAN Union Territory of Daman and Diu Daman and Diu INDIA 396210","Indian Non-Government Company"
"L67120DD1995PLC002624","2-14-1995","SHUKRA BULLIONS LIMITED","ACTIVE","Public","Company Limited by Shares","55000000","50130500","Daman and Diu","RoC-Goa","Finance","CHIRAG INDUSTRIAL ESTATESOMNATH ROAD DAMAN (U T) DAMAN Daman and Diu INDIA 396210","Indian Non-Government Company"
"L74950DD2005PLC003775","1-7-2005","RADHA MADHAV CORPORATION LIMITED","ACTIVE","Public","Company Limited by Shares","690000000","628422750","Daman and Diu","RoC-Goa","Business Services","SURVEY NO 50/9 ADAMAN INDUSTRIAL ESTATE VILLAGE KADAIYA NANI DAMAN Daman and Diu INDIA 396210","Indian Non-Government Company"
"U00006DD1971PTC000120","18-06-1971","UMESH FISHERIES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","265,000.00",NA,"Daman and Diu","RoC-Goa",NA,"MAIN ROAD, DAMAN,VIA VAPI. VIA VAPI. Daman and Diu INDIA","Indian Non-Government Company"
"U00064DD1988PTC000925","22-11-1988","PRECIOUS PLASTICS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,400,000.00",NA,"Daman and Diu","RoC-Goa",NA,"MAHARANI INDUSTRIAL ESTATEBUILDING NO.4 GALA NO.1 DABHEL DAMAN DABHEL DAMAN Daman and Diu INDIA","Indian Non-Government Company"
"U00200DD1975PTC000241","6-09-1975","DAMAN AUTO INDUSTRIES PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","1,000,000.00",NA,"Daman and Diu","RoC-Goa",NA,"A2-4, DAMAN INDUSTRIAL ESTATE,DAMAN. DAMAN. Daman and Diu INDIA","Indian Non-Government Company"
"U00204DD1992PLC001232","11-05-1992","DAMAN AGRO FOODS LIMITED.","STRIKE OFF","Public","Company Limited by Shares","10,000,000.00",NA,"Daman and Diu","RoC-Goa",NA,"757/3,SOMNATH ROAD,DHABEL,DAMAN-396210 DAMAN-396210 Daman and Diu INDIA","Indian Non-Government Company"
