"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L00012GA1965PLC000199","12-04-1965","MANDOVI PELLETS LIMITED","AMALGAMATED","Public","Company Limited by Shares","1,000,000,000.00",NA,"Goa","RoC-Goa",NA,"CHOWGULE HOUSE, MORMUGAO HARBOUR, HARBOUR Goa INDIA","Indian Non-Government Company"
"L00222GA1966PLC000067","21-09-1966","ARLEM BREWERIES LIMITED","DORMANT","Public","Company Limited by Shares","20,000,000.00",NA,"Goa","RoC-Goa",NA,"CHOWGULE HOUSE, MORMUGAO HARBOUR 403803. GOA. GOA Goa INDIA","Indian Non-Government Company"
"L13209GA1965PLC000044","25-06-1965","SESA STERLITE LIMITED","ACTIVE","Public","Company Limited by Shares","51,260,000,000.00","2,965,004,871.00","Goa","RoC-Goa","Mining & Quarrying","SESA GHOR 20 EDCCOMPLEX PATTO PANJIM GOA Goa INDIA 403001","Indian Non-Government Company"
"L15134GA1989PLC000992","18-08-1989","GOA FRUIT SPECIALITIES LIMITED","ACTIVE","Public","Company Limited by Shares","120,000,000.00","108,264,000.00","Goa","RoC-Goa","Manufacturing (Food stuffs)","117-119, KUNDAIM INDUSTRIAL ESTATE KUNDAIM PONDA Goa INDIA 403401","Indian Non-Government Company"
"L15139GA1984PLC000601","31-12-1984","HINDUSTAN FOODS LIMITED","ACTIVE","Public","Company Limited by Shares","70,000,000.00","66,000,000.00","Goa","RoC-Goa","Manufacturing (Food stuffs)","DEMPO HOUSECAMPAL PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"L23109GA1967PLC000076","22-06-1967","GOA CARBON LIMITED","ACTIVE","Public","Company Limited by Shares","250,000,000.00","91,510,520.00","Goa","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","DEMPO HOUSECAMPAL PANAJI GOA Goa INDIA 403001","Indian Non-Government Company"
"L24233GA1985PLC001587","15-11-1985","SANDU PHARMACEUTICALS LIMITED","ACTIVE","Public","Company Limited by Shares","100,000,000.00","70,810,000.00","Goa","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO.25,26,29 & 30,PILERNE INDUSTRIAL ESTATE, MARRA, BARDEZ,GOA-403 511. Goa INDIA","Indian Non-Government Company"
"L24239GA1991PLC001163","9-10-1991","I F G LIMITED","DORMANT","Public","Company Limited by Shares","90,000,000.00","80,270,000.00","Goa","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO.11, PILERNE INDUSTRIAL ESTATE BARDEZ GOA Goa INDIA 403511","Indian Non-Government Company"
"L25191GA1988PLC000848","16-08-1988","HYDROFLEX EQUIPMENTS LIMITED","DORMANT","Public","Company Limited by Shares","60,000,000.00","35,018,000.00","Goa","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","D-4/7 KAKODA INDUSTRIALESTATE KAKODA CURCHOREM GOA Goa INDIA 403706","Indian Non-Government Company"
"L25209GA1992PLC001298","23-10-1992","USHMA POLYMERS LIMITED","DORMANT","Public","Company Limited by Shares","35,000,000.00","30,075,000.00","Goa","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","107KUNDAIM INDUSTRIAL ESTATE KUNDAIM GOA Goa INDIA 403110","Indian Non-Government Company"
"L26109GA1981PLC000469","10-12-1981","GKB OPHTHALMICS LIMITED","ACTIVE","Public","Company Limited by Shares","70,000,000.00","41,535,800.00","Goa","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","16A TIVIM INDUSTRIAL ESTATE MAPUSA GOA Goa INDIA 403526","Indian Non-Government Company"
"L27106GA1987PLC000764","17-07-1987","MARMAGOA STEEL LIMITED","ACTIVE","Public","Company Limited by Shares","200,000,000.00","60,763,500.00","Goa","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO 280 ECLATECURTORIM SALCETE MARGAO GOA Goa INDIA 403709","Indian Non-Government Company"
"L27108GA1994PLC001666","6-10-1994","KARTHIK INDUCTIONS LIMITED","ACTIVE","Public","Company Limited by Shares","17,500,000.00","14,428,500.00","Goa","RoC-Goa","Manufacturing (Metals & Chemicals, and products thereof)","PLOT NO.120-121,, KUNDAIM,INDUSTRIAL ESTATE KUNDAIM GOA Goa INDIA 403115","Indian Non-Government Company"
"L29222GA1993PLC001396","23-07-1993","UNIDIAM ABRASIVES LIMITED","DORMANT","Public","Company Limited by Shares","16,000,000.00","15,010,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","PLOT NO L 4VERNA INDUSATRIAL ESTATE VERNA GOA Goa INDIA 403722","Indian Non-Government Company"
"L30007GA1993PLC001341","31-03-1993","SMARTLINK NETWORK SYSTEMS LIMITED.","ACTIVE","Public","Company Limited by Shares","70,000,000.00","60,009,700.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","L-7, VERNA INDUSTRIAL ESTATE, VERNA salcete Goa INDIA 403722","Indian Non-Government Company"
"L31200GA1963PLC000562","29-07-1963","THE SOUTHERN GAS LIMITED","ACTIVE","Public","Company Limited by Shares","5,000,000.00","2,250,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","GOVIND POY HOUSE, RUA DO PADRE MIRANDA MARGAO Goa INDIA 403803","Indian Non-Government Company"
"L31200GA1992PLC001969","30-12-1992","KARTHIK ALLOYS LIMITED","ACTIVE","Public","Company Limited by Shares","80,000,000.00","32,300,000.00","Goa","RoC-Goa","Manufacturing (Machinery & Equipments)","L6 L7 CUNCOLIM INDUSTRIALESTATE CUNCOLIM SALCETTE GOA Goa INDIA 403703","Indian Non-Government Company"
