"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L00000HP1994PLC014770","29-06-1994","HITKARI INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","60,000,000.00","32,054,700.00","Himachal Pradesh","RoC-Himachal Pradesh",NA,"PLOT NO 18 SECTOR 1INDUSTRIAL AREA PARWANOO SOLAN Himachal Pradesh INDIA 173220","Indian Non-Government Company"
"L15131HP1976PLC003703","7-12-1976","SHIVALIK AGRO POLY PRODUCTS LTD","ACTIVE","Public","Company Limited by Shares","50,000,000.00","8,860,000.00","Himachal Pradesh","RoC-Himachal Pradesh","Manufacturing (Food stuffs)","PLOT NO 1 SECTOR 3INDUSTRIAL AREA PARWANOO DISTT SOLAN solan Himachal Pradesh INDIA 173220","Indian Non-Government Company"
"L15419HP1987PLC007356","13-03-1987","MAHAAN FOODS LIMITED","ACTIVE","Public","Company Limited by Shares","120,000,000.00","35,007,000.00","Himachal Pradesh","RoC-Himachal Pradesh","Manufacturing (Food stuffs)","Highwinds, National Highway 22, Village Datyar Parwanoo Himachal Pradesh INDIA 173220","Indian Non-Government Company"
"L15520HP1934PLC000135","2-11-1934","MOHAN MEAKIN LIMITED","ACTIVE","Public","Company Limited by Shares","100,000,000.00","42,542,395.00","Himachal Pradesh","RoC-Himachal Pradesh","Manufacturing (Food stuffs)","Solan Brewery, P.O. Solan SOLAN. Solan Brewery Himachal Pradesh INDIA 173214","Indian Non-Government Company"
"L15543HP1991PLC019065","20-12-1991","MOUNT EVEREST MINERAL WATER LIMITED","ACTIVE","Public","Company Limited by Shares","350,000,000.00","339,959,710.00","Himachal Pradesh","RoC-Himachal Pradesh","Manufacturing (Food stuffs)","Village Dhaula Kuan DISTT SIRMOUR HIMACHAL PRADESH Himachal Pradesh INDIA","Indian Non-Government Company"
"L17111HP1982PLC016465","25-03-1982","DEEPAK SPINNERS LTD","ACTIVE","Public","Company Limited by Shares","140,000,000.00","71,893,680.00","Himachal Pradesh","RoC-Himachal Pradesh","Manufacturing (Textiles)","#121 INDUSTRIAL AREA,BADDI TEH NALAGARH DISTT SOLAN HIMACHAL PRADESH Himachal Pradesh INDIA","Indian Non-Government Company"
"L17115HP1980PLC005647","18-09-1980","WINSOME TEXTILE INDUSTRIES LIMITED","ACTIVE","Public","Company Limited by Shares","250,000,000.00","198,200,000.00","Himachal Pradesh","RoC-Himachal Pradesh","Manufacturing (Textiles)","1 INDUSTRIAL AREABADDI SOLAN HIMACHAL PRADESH Himachal Pradesh INDIA 173205","Indian Non-Government Company"
"L17115HP1980PLC025940","13-08-1980","SIDDHARTHA SUPER SPINNING MILLS LTD","ACTIVE","Public","Company Limited by Shares","150,000,000.00","127,500,000.00","Himachal Pradesh","RoC-Himachal Pradesh","Manufacturing (Textiles)","SIDDHARTHA SUPER SPINNINGMILLS LTD VPO NIHLA KHERA NALAGARH DISTT SOLAN HIMACHAL PRADESH Himachal Pradesh INDIA","Indian Non-Government Company"
"L17119HP1980PLC031020","20-02-1980","HIMACHAL FIBRES LIMITED","ACTIVE","Public","Company Limited by Shares","335,000,000.00","221,250,000.00","Himachal Pradesh","RoC-Himachal Pradesh","Manufacturing (Textiles)","PLOT NO. 43-44, INDUSTRIAL AREA, BAROTOWALA Himachal Pradesh INDIA 174103","Indian Non-Government Company"
"L19119HP1985PLC006115","21-01-1985","J K LEATHERITE LIMITED","UNDER LIQUIDATION","Public","Company Limited by Shares","60,000,000.00","42,783,000.00","Himachal Pradesh","RoC-Himachal Pradesh","Manufacturing (Leather & products thereof)","108 ,INUSTIAL AREA BADDI DISTT SOLAN Himachal Pradesh INDIA","Indian Non-Government Company"
