"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L27106JK1985PLC000783","6-06-1985","NARBADA STEELS LIMITED","ACTIVE","Public","Company Limited by Shares","10,000,000.00","5,000,000.00","Jammu and Kashmir","RoC-Jammu","Manufacturing (Metals & Chemicals, and products thereof)","SIDCO INDUSTRIAL COMPLEX, BARI BRAHMANA,JAMMU. JAMMU JAMMU AND KASHMIR Jammu and Kashmir INDIA 181133","Indian Non-Government Company"
"L65110JK1938SGC000048","1-10-1938","JAMMU AND KASHMIR BANK LIMITED","ACTIVE","Public","Company Limited by Shares","1,000,000,000.00","484,778,020.00","Jammu and Kashmir","RoC-Jammu","Finance","(CORPORATE HEADQUARTERS),M.A.ROAD,SRINAGAR,KASHMIR SRINAGAR Jammu and Kashmir INDIA 190001","State Government Company"
"L65993JK1980PLC000444","23-02-1980","DOLPHIN INVESTMENT LIMITED","ACTIVE","Public","Company Limited by Shares","2,100,000.00","2,000,000.00","Jammu and Kashmir","RoC-Jammu","Finance","C/O B.B. BAKSHI, 77 KALI JANIJAMMU J&K JAMMU AND KASHMIR Jammu and Kashmir INDIA 180001","Indian Non-Government Company"
"U00242JK1985PTC000811","12-08-1985","J.K. SILK MILLS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","200,000.00",NA,"Jammu and Kashmir","RoC-Jammu",NA,"jammu jammu JAMMU Jammu and Kashmir INDIA","Indian Non-Government Company"
"U01110JK2007PTC002840","13-11-2007","KASHMIRI ZAFFRON GROWERS. COMPANY PRIVATE LIMITED.","ACTIVE","Private","Company Limited by Shares","5,000,000.00","150,000.00","Jammu and Kashmir","RoC-Jammu","Agriculture and Allied Activities","KANWAL HOUSE, INDUSTRIAL ESTATE ANANTNAG Jammu and Kashmir INDIA 192101","Indian Non-Government Company"
"U01111JK2003PLC002308","25-06-2003","SHEEN AGRI DEVELOPMENT LIMITED","STRIKE OFF","Public","Company Limited by Shares","1,000,000.00","500,000.00","Jammu and Kashmir","RoC-Jammu","Agriculture and Allied Activities","243 SHEEN BHAWANJAMMU Canal Road, JAMMU AND KASHMIR Jammu and Kashmir INDIA","Indian Non-Government Company"
"U01111JK2009PTC002999","31-03-2009","SHIVA AGROFOOD PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Jammu and Kashmir","RoC-Jammu","Agriculture and Allied Activities","VPO MAGOWALI TEHSIL R S PURA JAMMU Jammu and Kashmir INDIA 181111","Indian Non-Government Company"
"U01111JK2012PLC003624","25-07-2012","PAILAN AGRO INDIA LIMITED","ACTIVE","Public","Company Limited by Shares","500,000.00","500,000.00","Jammu and Kashmir","RoC-Jammu","Agriculture and Allied Activities","HOUSE NO. 226, SECTOR 1A TRIKUTA NAGAR, NEAR PNB JAMMU Jammu and Kashmir INDIA 180012","Indian Non-Government Company"
"U01117JK2007PTC002749","8-03-2007","SCION HERBAL EXTRACTORS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00",NA,"Jammu and Kashmir","RoC-Jammu","Agriculture and Allied Activities","RESHI PORA BUDGAM Jammu and Kashmir INDIA 191111","Others"
"U01119JK2012PTC003641","7-08-2012","SHIVA AGROFRESH PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","100,000.00","100,000.00","Jammu and Kashmir","RoC-Jammu","Agriculture and Allied Activities","SHOP NO 65, NEW FRUIT MARKET NARWAL JAMMU Jammu and Kashmir INDIA 180006","Indian Non-Government Company"
"U01122JK1982PTC000577","27-11-1982","VALLEY PLANTATIONS PRIVATE LIMITED.","DORMANT","Private","Company Limited by Shares","100,000.00","20","Jammu and Kashmir","RoC-Jammu","Agriculture and Allied Activities","C\O BB, BAKSHI 77 KALI JANIJAMMU J&K JAMMU AND KASHMIR Jammu and Kashmir INDIA 180001","Indian Non-Government Company"
"U01122JK1996PLC001529","9-04-1996","SHEEN AGRO AND PLANTATION LIMITED.","DORMANT","Public","Company Limited by Shares","10,000,000.00","10,000,000.00","Jammu and Kashmir","RoC-Jammu","Agriculture and Allied Activities","243, SHEEN BHAWANCANAL ROAD JAMMU TAWI JAMMU AND KASHMIR Jammu and Kashmir INDIA 180001","Indian Non-Government Company"
"U01122JK1996PTC001505","23-01-1996","NEELGIRI TECHNOLOGIES EXPORTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","559,180.00","Jammu and Kashmir","RoC-Jammu","Agriculture and Allied Activities","H. NO. 6, TRIKUTA NAGAR, EXT III C, JAMMU JAMMU Jammu and Kashmir INDIA 180012","Indian Non-Government Company"
"U01122JK1997PLC001648","15-04-1997","J AND K PLANTATION LIMITED.","STRIKE OFF","Public","Company Limited by Shares","1,500,000.00","315,000.00","Jammu and Kashmir","RoC-Jammu","Agriculture and Allied Activities","255,BAKSHI NAGAR, JAMMU. JAMMU JAMMU AND KASHMIR Jammu and Kashmir INDIA 180001","Indian Non-Government Company"
"U01122JK1997PLC001722","31-07-1997","KASHMIR ENDOWMENT PLANTATIONS INDIA LIMITED.","DORMANT","Public","Company Limited by Shares","500,000.00","75,000.00","Jammu and Kashmir","RoC-Jammu","Agriculture and Allied Activities","DALGATE,RAM MUNSHI BAGH,SRINAGAR ,(J. & K.) JAMMU AND KASHMIR Jammu and Kashmir INDIA","Indian Non-Government Company"
