"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L65929MN1987PLC002802","20-11-1987","NEW MILLENIUM HEALTH CARE PRODUCTS & EQUIPMENT LIMITED","STRIKE OFF","Public","Company Limited by Shares","220,000,000.00","220,000,000.00","Manipur","RoC-Shillong","Finance","DHARAMSALA ROAD, IMPHAL, Manipur INDIA","Indian Non-Government Company"
"U01119MN1985PTC002393","19-07-1985","EASTERN AGRO FARMS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","100,000.00","20,000.00","Manipur","RoC-Shillong","Agriculture and Allied Activities","THANGMEIBAND IMPHAL Manipur INDIA 795001","Indian Non-Government Company"
"U01119MN1988PTC002893","14-03-1988","INTERNATIONAL BUSINESS & TRAVELS DEVELOPMENT CORPORATION PVT LTD","STRIKE OFF","Private","Company Limited by Shares","10,000,000.00","3,000.00","Manipur","RoC-Shillong","Agriculture and Allied Activities","IMPHAL IMPHAL MANIPUR Manipur INDIA","Indian Non-Government Company"
"U01119MN1994PTC004074","3-02-1994","NEZONE AGRICULTURAL PRODUCE COMPANY PVT LTD","STRIKE OFF","Private","Company Limited by Shares","20,000.00","20","Manipur","RoC-Shillong","Agriculture and Allied Activities","THANGMEI BAND IMPHAL Manipur INDIA 795001","Indian Non-Government Company"
"U01119MN1997PLC004940","7-01-1997","NORTH EASTERN GROWERS AND PLANTATIONS LIMITED","STRIKE OFF","Public","Company Limited by Shares","500,000.00","450,000.00","Manipur","RoC-Shillong","Agriculture and Allied Activities","SAGOLBAND TERA KEITHALSAPAM LEIRAK IMPHAL Manipur INDIA","Indian Non-Government Company"
"U01119MN1999PTC005939","12-11-1999","KAYI ORGANIC PRODUCTS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,500,000.00","100,000.00","Manipur","RoC-Shillong","Agriculture and Allied Activities","PUNANAMEI, MAO SENAPATI MAO Manipur INDIA 795150","Indian Non-Government Company"
"U01131MN1994PLC004134","12-05-1994","HILL CROPS AND COFFEE PLANTATION LTD","STRIKE OFF","Public","Company Limited by Shares","200,000.00","80,000.00","Manipur","RoC-Shillong","Agriculture and Allied Activities","BUNGPA KHUNOUUKHRUL Manipur INDIA","Indian Non-Government Company"
"U01132MN1977PTC001712","29-06-1977","CHANSO PRONGO TEA CO PVT LTD","STRIKE OFF","Private","Company Limited by Shares","200,000.00","100,000.00","Manipur","RoC-Shillong","Agriculture and Allied Activities","IMPHAL IMPHAL MANIPUR Manipur INDIA","Indian Non-Government Company"
"U01132MN1981SGC001872","19-03-1981","MANIPUR PLANTATION CROPS CORPORATION LTD","DORMANT","Private","Company Limited by Shares","20,000,000.00","20,000,000.00","Manipur","RoC-Shillong","Agriculture and Allied Activities","Department of Agriculture, SECRETARIAT IMPHAL Manipur INDIA","State Government Company"
"U01132MN1989PTC003280","11-05-1989","JOY PLANTATION PVT LTD","STRIKE OFF","Private","Company Limited by Shares","2,000,000.00","14,400.00","Manipur","RoC-Shillong","Agriculture and Allied Activities","SANGEIBROW AIR PORT ROADIMPHAL MANIPUR Manipur INDIA","Indian Non-Government Company"
