"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L27310ML2011PLC008564","10-03-2011","STAR FERRO AND CEMENT LIMITED","ACTIVE","Public","Company Limited by Shares","230,000,000.00","222,172,990.00","Meghalaya","RoC-Shillong","Manufacturing (Metals & Chemicals, and products thereof)","Vill.: Lumshnong, PO: Khaliehriat Lumshnong Meghalaya INDIA 793210","Indian Non-Government Company"
"L51909ML1993PLC003931","15-06-1993","EASTERN MINING AND ALLIED INDUSTRIES LIMITED.","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","250,000,000.00","244,502,000.00","Meghalaya","RoC-Shillong","Trading","AGYA COTTAGE LOWER LACHUMIERE SHILLONG Meghalaya INDIA 793001","Indian Non-Government Company"
"L55101ML1985PLC002457","29-11-1985","INDRAPRASTHA HOLDINGS LTD.","STRIKE OFF","Public","Company Limited by Shares","20,000,000.00","19,001,900.00","Meghalaya","RoC-Shillong","Trading","AUCKLAND ROAD, OPP. P&T QUARTER DIST. EAST KHASI HILLS SHILLONG Meghalaya INDIA 793001","Indian Non-Government Company"
"U01111ML1989PTC003336","28-08-1989","MEGHA FARMS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","2,000.00","Meghalaya","RoC-Shillong","Agriculture and Allied Activities","29 A CANTONMENTSHILLONG EAST KHASI HILLS MEGHALAYA Meghalaya INDIA 793002","Indian Non-Government Company"
"U01116ML1989PTC003203","28-02-1989","PIONEER RUBBER ESTATES PVT LTD","STRIKE OFF","Private","Company Limited by Shares","500,000.00","15,000.00","Meghalaya","RoC-Shillong","Agriculture and Allied Activities","POLICE BAZAR SHILLONG SHILLONG Meghalaya INDIA 793001","Indian Non-Government Company"
"U01116ML1995PTC004535","11-08-1995","MEGHALAYA RUBBER PVT LTD","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","5,000.00","Meghalaya","RoC-Shillong","Agriculture and Allied Activities","KHARKUTTAEAST GARO HILLS MEGHALAYA Meghalaya INDIA","Indian Non-Government Company"
"U01116ML2003PTC007139","20-06-2003","ALKANANDA PLANTATIONS PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","100,000.00","Meghalaya","RoC-Shillong","Agriculture and Allied Activities","10TH MILESMAWSMAI VILLAGE RAID MARWET MYLLIEM SYIEMSHIP MEGHALAYA Meghalaya INDIA","Indian Non-Government Company"
"U01116ML2009FTC008357","31-03-2009","WORLDVIEW IMPACT (INDIA) PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","10,000,000.00","5,106,600.00","Meghalaya","RoC-Shillong","Agriculture and Allied Activities","JAIAW CHAPEL ROAD SHILLONG Meghalaya INDIA 793002","Subsidiary of Foreign Company"
"U01117ML1974PLC001595","5-11-1974","MEGHALAYA PHYTOCHEMICALS LIMITED.","STRIKE OFF","Public","Company Limited by Shares","10,000,000.00","9,000,000.00","Meghalaya","RoC-Shillong","Agriculture and Allied Activities","BARAPANI, DIST. EAST KHASI HILLS Meghalaya INDIA 793103","Indian Non-Government Company"
"U01117ML2008PTC008305","4-02-2008","JRT PLANTATTIONS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","100,000.00","Meghalaya","RoC-Shillong","Agriculture and Allied Activities","C/O KIDS CARE, UPPER NEW COLONY LAITUMKHRAH SHILLONG Meghalaya INDIA 793003","Indian Non-Government Company"
"U01119ML2006PLC008165","29-05-2006","IKF GREEN FUEL LIMITED","ACTIVE","Public","Company Limited by Shares","500,000,000.00","309,736,960.00","Meghalaya","RoC-Shillong","Agriculture and Allied Activities","GREEN VIEW BUILDING, FLAT NO.3, THIRD FLOOR, LABAN SHILLONG Meghalaya INDIA 793004","Indian Non-Government Company"
"U01119ML2012PTC008502","24-05-2012","POTENTIAL AGRI VENTURES PRIVATE LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares","1,000,000.00","100,000.00","Meghalaya","RoC-Shillong","Agriculture and Allied Activities","19 UMBUDA (MYLLIEM SYIEMSHIP) RI BHOI SHILLONG Meghalaya INDIA 793102","Indian Non-Government Company"
