"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U01110MZ2011PLC008266","8-08-2011","NORTH EAST STEVIA LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares","1,000,000.00","1,000,000.00","Mizoram","RoC-Shillong","Agriculture and Allied Activities","T-123, Model Veng, Near Fisheries Dept., Lengpui Lengpui Mizoram INDIA 796410","Indian Non-Government Company"
"U01111MZ1999PLC005713","26-03-1999","ZORAM AGRICULTURAL TRADING COMPANY LIMITED","STRIKE OFF","Public","Company Limited by Shares","5,000,000.00","35,000.00","Mizoram","RoC-Shillong","Agriculture and Allied Activities","P O BAZAR BUNGKAWN AIZAWL Mizoram INDIA","Indian Non-Government Company"
"U01119MZ1997PTC005236","3-11-1997","VEE CEE COMMERCIALS PVT LTD","STRIKE OFF","Private","Company Limited by Shares","200,000.00","20,000.00","Mizoram","RoC-Shillong","Agriculture and Allied Activities","6AWNGKAWNRAMHLUN ROAD AIZAWAL MIZORAM Mizoram INDIA","Indian Non-Government Company"
"U01119MZ2000PTC006070","13-03-2000","MIZORAM AGRO FOREST PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","2,500,000.00","30,000.00","Mizoram","RoC-Shillong","Agriculture and Allied Activities","0LECTRIC VENG B 69AIZAWL MIZORAM Mizoram INDIA","Indian Non-Government Company"
"U01119MZ2007PTC008235","12-02-2007","ZOHILLS AGRICULTURE AND ALLIED SERVICES PRIVATE LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","149,200.00","Mizoram","RoC-Shillong","Agriculture and Allied Activities","OPPOSITE DIRECTORATE OF HORTICULTURE NEAR AIZAWL TENNIS COURT AIZAWL Mizoram INDIA 796001","Indian Non-Government Company"
"U01119MZ2009PTC008252","6-01-2009","NUTECH BAMBOO PROJECTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","50,000,000.00","38,825,000.00","Mizoram","RoC-Shillong","Agriculture and Allied Activities","H. NO. Y II-A7 DINGDI VENG, CHALTLANG AIZAWL Mizoram INDIA 796012","Indian Non-Government Company"
"U01122MZ2008PLC008239","2-05-2008","MIZO ORGANIC LIMITED","STRIKE OFF","Public","Company Limited by Shares","15,000,000.00","700,000.00","Mizoram","RoC-Shillong","Agriculture and Allied Activities","MIP OFFICE DIRECTORATE OF AGRICULTURE BUILDING TOP FLOOR, AIZAWL Mizoram INDIA 796001","Indian Non-Government Company"
"U01122MZ2008PTC008240","12-06-2008","MIZO ORGANICS SERCHHIP FARMER PRODUCER COMPANY LIMITED","STRIKE OFF","Private","Company Limited by Shares","250,000.00",NA,"Mizoram","RoC-Shillong","Agriculture and Allied Activities","C/o AMFU Office, PU PC Thangliana Building H/No 165 Serchhip Bazar Veng, Serchhip Mizoram INDIA 796181","Indian Non-Government Company"
"U01122MZ2008PTC008241","12-06-2008","MIZORGANIC CHAMPHAI FARMER PRODUCER COMPANY LIMITED","STRIKE OFF","Private","Company Limited by Shares","250,000.00",NA,"Mizoram","RoC-Shillong","Agriculture and Allied Activities","C/o AMFU Office, Pu H. Taithuama Building Champhai Venglai Champhai Mizoram INDIA 796321","Indian Non-Government Company"
"U01122MZ2008PTC008242","12-06-2008","MIZORGANICS KOLASIB FARMER PRODUCER COMPANY LIMITED","STRIKE OFF","Private","Company Limited by Shares","250,000.00",NA,"Mizoram","RoC-Shillong","Agriculture and Allied Activities","C/o AMFU Office, AMFU Building Project Veng, Near Telephone Exchange Kolasib Mizoram INDIA 796081","Indian Non-Government Company"
"U01122MZ2008PTC008243","12-06-2008","MIZO ORGANIC MAMIT PRODUCER COMPANY LIMITED","STRIKE OFF","Private","Company Limited by Shares","250,000.00",NA,"Mizoram","RoC-Shillong","Agriculture and Allied Activities","C/o AMFU Office, Pu Vanlalthawma Pachuau Building Mamit Zion Veng, Mamit Mizoram INDIA 796441","Indian Non-Government Company"
"U01122MZ2008PTC008244","12-06-2008","MIZORGANIC SAIHA PRODUCER COMPANY LIMITED","STRIKE OFF","Private","Company Limited by Shares","250,000.00",NA,"Mizoram","RoC-Shillong","Agriculture and Allied Activities","C/o AMFU Office Dr. Chawngkhuma Chawngthu Building, College Veng Saiha Mizoram INDIA 796901","Indian Non-Government Company"
"U01122MZ2008PTC008245","12-06-2008","MIZO ORGANIC LAWNGTLAI PRODUCTS PRODUCER COMPANY LIMITED","STRIKE OFF","Private","Company Limited by Shares","250,000.00",NA,"Mizoram","RoC-Shillong","Agriculture and Allied Activities","C/o AMFU Office Lawngtlai Bazar Veng, Lawngtlai Mizoram INDIA 796891","Indian Non-Government Company"
