"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L20101NL1985PLC002284","1-4-1985","SANGRAHALAYA TIMBER AND CRAFTS LTD","ACTIVE","Public","Company Limited by Shares",200100000,200100000,"Nagaland","RoC-Shillong","Manufacturing (Wood Products)","P.O. - NAGINIMARA DIST : MON NAGALAND Nagaland INDIA 798622","Indian Non-Government Company"
"L20211NL1984PLC002149","3-8-1984","HOTAHOTI WOOD PRODUCTS LTD","ACTIVE","Public","Company Limited by Shares",200100000,199999600,"Nagaland","RoC-Shillong","Manufacturing (Wood Products)","P.O. - NAGINIMORA, MON, Nagaland Nagaland INDIA 798622","Indian Non-Government Company"
"U00201NL1997PTC004980","2-5-1997","MANGLOI PLANTATIONS PRIV LIMITED","STRIKE OFF","Private","Company Limited by Shares",3000000,200,"Nagaland","RoC-Shillong",NA,"CIRCULAR ROADOPP HOLY CROSS DIMAPUR NAGALAND Nagaland INDIA","Indian Non-Government Company"
"U01100NL2011PLC008305","9-21-2011","FLORA & FAUNA AGRO FARMING LIMITED","UNDER PROCESS OF STRIKING OFF","Public","Company Limited by Shares",500000,500000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","Sharon Complex, House No.215, 1st Floor Opp. State Bank of India, Chumukedima Dimapur Nagaland INDIA 797112","Indian Non-Government Company"
"U01111NL2005PTC007906","10-4-2005","NAGALAND AGRO FOREST PRODUCE MARKETING PRIV LIMITED","STRIKE OFF","Private","Company Limited by Shares",2500000,200000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","D BLOCKNAGALAND KOHIMA Nagaland INDIA 797001","Indian Non-Government Company"
"U01116NL1999PLC005695","3-15-1999","NORTH EASTERN RUBBER AND AGRO INDUSTRIES LIMITED","STRIKE OFF","Public","Company Limited by Shares",100000000,70000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","NEAR ADC COURT JUNCTION P.O. DIMAPUR,DIST: KOHIMA Nagaland INDIA","Indian Non-Government Company"
"U01117NL1988PTC003151","12-16-1988","STEP IN CATERERS PVT LTD","STRIKE OFF","Private","Company Limited by Shares",1000000,15000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","KHERMALAL DIMAPURDIST KOHIMA NAGALAND Nagaland INDIA","Indian Non-Government Company"
"U01117NL1994PTC004172","7-12-1994","EVERGREEN AGRO FARMS PVT LTD","STRIKE OFF","Private","Company Limited by Shares",20000,20,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","KHARMAHALD Dimapur Nagaland INDIA 797112","Indian Non-Government Company"
"U01117NL1994PTC004174","7-12-1994","COSMIC AGRO PVT LTD","STRIKE OFF","Private","Company Limited by Shares",20000,20,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","CIRCULAR ROADDIMAPUR NAGALAND Nagaland INDIA","Indian Non-Government Company"
"U01119NL2002PTC006899","8-28-2002","NAGALAND FOODS PRIV LIMITED","DORMANT","Private","Company Limited by Shares",7500000,100000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","C 26 3HALF NAGAJAH DIMAPUR NAGALAND Nagaland INDIA","Indian Non-Government Company"
"U01119NL2002PTC006910","9-12-2002","ESSENTIAL BAMBOO PRIV LIMITED","STRIKE OFF","Private","Company Limited by Shares",1000000,100000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","GOLAGHAT ROADC O ANSARI & CO DIMAPUR NAGALAND Nagaland INDIA 797112","Indian Non-Government Company"
"U01119NL2007PTC008235","3-14-2007","SYMBIOS BAMBOO PRODUCTS PRIV LIMITED","UNDER PROCESS OF STRIKING OFF","Private","Company Limited by Shares",1000000,100000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","I.T. COMPLEX NAGARJAN POINT DIMAPUR Nagaland INDIA 797112","Indian Non-Government Company"
"U01122NL1996PTC004890","10-16-1996","AKZAKT FARMING PRIV LIMITED","STRIKE OFF","Private","Company Limited by Shares",5000000,200000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","POST BOX 222DIMAPUR DIST KOHIMA NAGALAND Nagaland INDIA","Indian Non-Government Company"
"U01122NL2005PTC007630","1-19-2005","NAGA FRAGRANCE PRIV LIMITED","ACTIVE","Private","Company Limited by Shares",26000000,950000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","NSCB HEAD OFFICE BUILDING4TH FLOOR KHERMAHAL DIMAPUR NAGALAND Nagaland INDIA","Indian Non-Government Company"
"U01122NL2014PTC008370","8-7-2014","TATAMI AGRI PRODUCER COMPANY LIMITED","ACTIVE","Private","Company Limited by Shares",1000000,500000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","ERALI BIL DIMAPUR Nagaland INDIA 797112","Indian Non-Government Company"
"U01122NL2015PTC008376","1-12-2015","JAPFU VALLEY AGRO FARMS PRIV LIMITED","ACTIVE","Private","Company Limited by Shares",1000000,100000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","4TH FLOOR, MATO COMPLEX, PHQ JUNCTION, P.R HILL KOHIMA Nagaland INDIA 797001","Indian Non-Government Company"
"U01132NL1949PTC000895","3-29-1949","BOKAJAN TEA CO PVT LTD","ACTIVE","Private","Company Limited by Shares",4000000,500625,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","CIRCULAR ROAD DIST DIMAPUR DIMAPUR Nagaland INDIA 797112","Indian Non-Government Company"
"U01132NL1981SGC001875","4-6-1981","NAGALAND PLANTATION CROPS DEVELOPMENT CORPORATION LTD","DORMANT","Private","Company Limited by Shares",50000000,2000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","KOHIMA Nagaland INDIA","State Government Company"
"U01132NL1994PTC004249","9-28-1994","KARAN FARMS PVT LTD","STRIKE OFF","Private","Company Limited by Shares",20000,20,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","BURMA CAMP ROAD Dimapur Nagaland INDIA 797112","Indian Non-Government Company"
"U01132NL1994PTC004250","9-28-1994","DANIEAL FARMS PVT LTD","STRIKE OFF","Private","Company Limited by Shares",20000,20,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","CIRCULAR ROADDIMAPUR NAGALAND Nagaland INDIA 797112","Indian Non-Government Company"
"U01132NL1998PTC005464","7-9-1998","HILLS TEA ESTATE PVT LTD","STRIKE OFF","Private","Company Limited by Shares",1000000,10000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","LAPALANGPONG TIZIT TALAQ DIST: MON NAGALAND Nagaland INDIA 798621","Indian Non-Government Company"
"U01132NL1998PTC005481","7-24-1998","AKATO AND BROTHERS TEA CO PVT LTD","STRIKE OFF","Private","Company Limited by Shares",1000000,10000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","AKULATO TOWNDIST ZUNHE BOTO NAGALAND Nagaland INDIA","Indian Non-Government Company"
"U01132NL1998PTC005615","12-10-1998","HONGKHONG TEA PRIV LIMITED","STRIKE OFF","Private","Company Limited by Shares",200000,10000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","TIZETMON NAGALAND Nagaland INDIA","Indian Non-Government Company"
"U01132NL2001PTC006552","6-14-2001","SHOVI TEA COMPANY PRIV LIMITED","STRIKE OFF","Private","Company Limited by Shares",200000,100000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","3RD MILEKOHIMA ROAD DIMAPUR NAGALAND Nagaland INDIA 797112","Indian Non-Government Company"
"U01132NL2001PTC006553","6-14-2001","KAINALI TEA COMPANY PRIV LIMITED","STRIKE OFF","Private","Company Limited by Shares",1000000,500000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","DIPHUPAR BDIMAPUR NAGALAND Nagaland INDIA 797112","Indian Non-Government Company"
"U01132NL2001PTC006554","6-14-2001","TSURANG VALLEY TEA COMPANY PRIV LIMITED","STRIKE OFF","Private","Company Limited by Shares",200000,100000,"Nagaland","RoC-Shillong","Agriculture and Allied Activities","MIDLANDDIMAPUR NAGALAND Nagaland INDIA 797112","Indian Non-Government Company"
