"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","ROC","DESCRIPTION","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"L14102PY1986PLC000415","5-30-1986","COROMANDEL GRANITES (I) LIMITED","ACTIVE","PUBC","CLSH",2.47032822920623e-316,1.99911311948514e-316,"Pondicherry","RoC-Pondicherry","Mining & Quarrying","C/o. G. JAYANTHI, NO.2, KAMARAJAR STREET 1ST FLOOR, ASHOK NAGAR, LAWSPET PONDICHERRY Pondicherry INDIA 605008","Indian Non-Government Company"
"L15142PY1993PLC000911","8-20-1993","J.R.FOODS LIMITED","ACTIVE","PUBC","CLSH",4.94065645841247e-316,4.69362363549184e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Food stuffs)","J K TOWERS100 FEET ROAD PONDICHERRY-605013 PONDICHERRY 605 013. Pondicherry INDIA 605013","Indian Non-Government Company"
"L15319PY1987PLC000533","9-18-1987","PROTCHEM INDUSTRIES (INDIA) LTD","ACTIVE","PUBC","CLSH",5.43472210425371e-316,3.45845952088873e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Food stuffs)","ABHISHEKAPAKKAMPONDICHEERY 7 PONDICHEERY 7 Pondicherry INDIA 605007","Indian Non-Government Company"
"L15531PY1977PLC000147","10-14-1977","SICA BEWERIES LTD.","AMALGAMATED","PUBC","CLSH",2.99502594508964e-316,0,"Pondicherry","RoC-Pondicherry","Manufacturing (Food stuffs)","AYYANKUTTIPALAYAMMUTHIRAPALAYAM P.O PONDICHERRY 9 605 009. Pondicherry INDIA","Indian Non-Government Company"
"L17111PY1992PLC000796","2-28-1992","PONDICHERRY SPINNERS LIMITED","ACTIVE","PUBC","CLSH",8.64614880222181e-317,7.52709011439139e-317,"Pondicherry","RoC-Pondicherry","Manufacturing (Textiles)","SIRUVANTHADU ROAD,MADUKARAI, PONDICHERRY - 605 106 PONDICHERRY - 605 106 Pondicherry INDIA 605106","Indian Non-Government Company"
"L19112PY1993PLC000921","10-19-1993","GYAN LEATHER BOARD LTD.","ACTIVE","PUBC","CLSH",4.94065645841247e-316,4.43548767531223e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Leather & products thereof)","THUTHIPET VILLAGE,VIA VALUDAVOOR, VILLIANUR COMMUNE, PONDICHERRY Pondicherry INDIA 605502","Indian Non-Government Company"
"L21012PY1974PLC000125","11-11-1974","THE PONDICHERRY PAPERS LTD","ACTIVE","PUBC","CLSH",2.47032822920623e-316,2.42833264930973e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","NO.2, III CROSS,SHANTHI NAGAR, PONDICHERRY 605 011. PONDICHERRY 605 013 Pondicherry INDIA 605013","Indian Non-Government Company"
"L21029PY1991PLC000730","1-18-1991","KARUR K.C.P PACKKAGINGS LIMITED","ACTIVE","PUBC","CLSH",9.88131291682493e-316,5.55823851571402e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)","NO:1, FIRST FLOOR, BHAGATH SINGH STREET, (BEHIND STANDARD ICE FACTORY), BHARATHIPURAM PUDUCHERRY Pondicherry INDIA 605011","Indian Non-Government Company"
"L26940PY1987PLC000478","1-29-1987","ALTERNATIVE ENERGY INDUSTRIES LIMITED","DISSOLVED","PUBC","CLSH",7.4109846876187e-317,6.87463937413459e-317,"Pondicherry","RoC-Pondicherry","Manufacturing (Metals & Chemicals, and products thereof)","KALITHEERTHAL KUPPAM 605 107MANNADIPET COMMUNE PONDICHERRY Pondicherry INDIA","Indian Non-Government Company"
"L27109PY1982PLC000199","8-20-1982","EASTCOAST STEEL LTD","ACTIVE","PUBC","CLSH",4.94065645841247e-316,2.66620944768162e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Metals & Chemicals, and products thereof)","CUDDALORE ROADPILLAYARKUPPAM BAHOURE COMMUNE PONDICHERRY 607 402 Pondicherry INDIA 607402","Indian Non-Government Company"
"L35111PY1984PLC000255","3-28-1984","SUMURA MARITIME TRADES LTD","ACTIVE","PUBC","CLSH",3.45845952088873e-316,2.44384631058914e-316,"Pondicherry","RoC-Pondicherry","Manufacturing (Machinery & Equipments)","Room no 2 First Floor no 46 Ambur Salai pondicherry Pondicherry INDIA 605001","Indian Non-Government Company"
"L51909PY1919PLC002537","10-27-1919","MARSHALL SONS AND CO INDIA LTD","ACTIVE","PUBC","CLSH",9.88131291682493e-317,4.48270701128221e-317,"Pondicherry","RoC-Pondicherry","Trading","24, Rue-Debassyns, De-Richmond Pondicherry Pondicherry INDIA 605001","Indian Non-Government Company"
"U01111PY1986PTC000440","9-24-1986","SRI VASAVI MODERN RICE MILLS PVT LTD","ACTIVE","PRIV","CLSH",1.97626258336499e-317,1.97626258336499e-317,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","R.S NO.81/5 ADAVIPOLAMYANAM 533 464 YANAM 533 464 Pondicherry INDIA 533464","Indian Non-Government Company"
"U01111PY2003PTC001746","12-24-2003","ST.MARYS AGRO FARMS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","141,VILLIANUR ROAD,REDDIARPALAYAM, PONDICHERRY 605 010. PONDICHERRY 605 010. Pondicherry INDIA 605010","Indian Non-Government Company"
"U01111PY2004PTC001794","7-15-2004","SRI VENGADACHALAPATHY HITECH AGRO MILLS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-318,4.94065645841247e-318,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","OLD TN PALAYAM ROAD,ABISHEGAPAKKAM, PONDICHERRY-605007. 605007. Pondicherry INDIA 605007","Indian Non-Government Company"
"U01111PY2007PTC002031","2-27-2007","UNITED AGRO CARE (INDIA) PRIVATE LIMITED","ACTIVE","PRIV","CLSH",2.27270197086973e-316,2.27136799362596e-316,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO. 73, IYYANAR KOIL STREET THILASPET PONDICHERRY Pondicherry INDIA 605009","Indian Non-Government Company"
"U01111PY2010PTC002417","2-10-2010","ALPHA ORGANIC SOLUTIONS PRIVATE LIMITED","ACTIVE","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","59/4A, ANNAI NAGAR ALANKUPPAM PONDICHERRY Pondicherry INDIA 605111","Indian Non-Government Company"
"U01117PY2001PTC001572","2-7-2001","MARUTHI BIO-TECH PRIVATE LIMITED","STRIKE OFF","PRIV","CLSH",4.94065645841247e-319,4.94065645841247e-319,"Pondicherry","RoC-Pondicherry","Agriculture and Allied Activities","NO.5, SECOND STREET,SHANTHI NAGAR,PONDICHERRY - 605 011 PONDICHERRY - 605 011 Pondicherry INDIA 605011","Indian Non-Government Company"
