"CORPORATE_IDENTIFICATION_NUMBER","DATE_OF_REGISTRATION","COMPANY_NAME","COMPANY_STATUS","COMPANY_CLASS","COMPANY_CATEGORY","AUTHORIZED_CAPITAL","PAIDUP_CAPITAL","REGISTERED_STATE","REGISTRAR_OF_COMPANIES","PRINCIPAL_BUSINESS_ACTIVITY","REGISTERED_OFFICE_ADDRESS","SUB_CATEGORY"
"U00339AN1986PLC007658","18-06-1986","HIGHTECH PISTON (KARNATAKA) LIMITED","STRIKE OFF","Public","Company Limited by Shares","500,000.00",NA,"Andaman and Nicobar Islands","RoC-Chennai",NA,"3RD FLOOR,TOWER BLOCK,UNITYBUILDINGS,J.C.ROAD, ,BANGALORE-2. BANGALORE Andaman and Nicobar Islands INDIA","Indian Non-Government Company"
"U01111AN1994PTC000046","14-06-1994","RAMYGANS PLANTATION PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","1,000,000.00",NA,"Andaman and Nicobar Islands","RoC-Chennai","Agriculture and Allied Activities","Delanipur School Phoenix Bat Port Blair Andaman and Nicobar Islands INDIA 744102","Indian Non-Government Company"
"U01111AN1997PTC000056","15-07-1997","ECO RESORTS PRIVATE LIMITED","DORMANT","Private","Company Limited by Shares","1,000,000.00","10,000.00","Andaman and Nicobar Islands","RoC-Chennai","Agriculture and Allied Activities","PremNagar Port Blair Andaman and Nicobar Islands INDIA 744101","Indian Non-Government Company"
"U01111AN2007PTC000087","6-08-2007","ANDAMAN AGRO PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,000,000.00","100,000.00","Andaman and Nicobar Islands","RoC-Chennai","Agriculture and Allied Activities","Sadha Bhavan Gurudwara Lane Port Blair Andaman and Nicobar Islands INDIA 744101","Indian Non-Government Company"
"U01120AN2010PTC000135","26-03-2010","OCEANIC AGRO TECH PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","2,000,000.00","750,000.00","Andaman and Nicobar Islands","RoC-Chennai","Agriculture and Allied Activities","SADHA BHAWAN GURUDWARA LANE PORT BLAIR Andaman and Nicobar Islands INDIA 744101","Indian Non-Government Company"
"U01211AN2009PTC000123","23-10-2009","VINOTH FEEDS AND POULTRY PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","20,000,000.00","2,805,000.00","Andaman and Nicobar Islands","RoC-Chennai","Agriculture and Allied Activities","SADHA BHAVAN GURUDWARA LANE PORT BLAIR Andaman and Nicobar Islands INDIA 744101","Indian Non-Government Company"
"U01400AN2014PTC000238","18-12-2014","ANDAMAN COCONUT AND AGRI PRODUCTS PRIVATE LIMITED","ACTIVE","Private","Company Limited by Shares","1,000,000.00","200,000.00","Andaman and Nicobar Islands","RoC-Chennai","Agriculture and Allied Activities","Survey No. 594, Near Range Office, Bathubasti Port Blair Andaman and Nicobar Islands INDIA 744105","Indian Non-Government Company"
"U01400AN2015PTC000250","2-03-2015","ANDAMAN PRAGATI COCONUT PRODUCER COMPANY LIMITED","ACTIVE","Private","Company Limited by Shares","5,000,000.00","500,000.00","Andaman and Nicobar Islands","RoC-Chennai","Agriculture and Allied Activities","C-67, 1ST FLOOR, NO. 3, HOTEL PORT RESIDENCY BUILDING, CIARI ROAD, BATHU BASTI, GARACHARMA PO, PAHARGOAN PS PORT BLAIR Andaman and Nicobar Islands INDIA 744105","Indian Non-Government Company"
"U01403AN2009PTC000121","5-08-2009","DWEEPAM AGRI PRODUCER COMPANY LIMITED","STRIKE OFF","Private","Company Limited by Shares","1,000,000.00","1,000,000.00","Andaman and Nicobar Islands","RoC-Chennai","Agriculture and Allied Activities","HOUSE NO. 1, NEAR SANTOSHI MATA KA MANDIR PORT BLAIR Andaman and Nicobar Islands INDIA 744103","Indian Non-Government Company"
"U01403AN2013PTC000194","3-05-2013","ADHITHI MILK AND AGRI PRODUCER COMPANY LIMITED","ACTIVE","Private","Company Limited by Shares","500,000.00","490,000.00","Andaman and Nicobar Islands","RoC-Chennai","Agriculture and Allied Activities","PLOT NO. 1752 ROOM NO. 4 C-50 4 1ST FLOOR CIVILGURUDWARA LINE PORTBLAIR Andaman and Nicobar Islands INDIA 744101","Indian Non-Government Company"
